!Family	Genus	Species	Code
Sparidae	Chrysophrys	auratus	Pagaur
Thalasseleotrididae	Grahamichthys	radiata	Grarad
Thalasseleotrididae	Thalasseleotris	adela	Thasp.
Tripterygiidae	Bellapiscis	lesleyae	Belles
Tripterygiidae	Bellapiscis	medius	Belmed
Tripterygiidae	Blennodon	dorsalis	Bledor
Tripterygiidae	Enneapterygius	kermadecensis	Kertri
Tripterygiidae	Forsterygion	capito	Gracap
Tripterygiidae	Forsterygion	flavonigrum	Fstfla
Tripterygiidae	Forsterygion	gymnotum	Gragym
Tripterygiidae	Forsterygion	lapillum	Forlap
Tripterygiidae	Forsterygion	malcolmi	Formal
Tripterygiidae	Forsterygion	maryannae	Oblmar
Tripterygiidae	Forsterygion	nigripenne	Granig
Tripterygiidae	Forsterygion	varium	Forvar
Tripterygiidae	Gilloblennius	abditus	Gilabd
Tripterygiidae	Gilloblennius	tripennis	Giltri
Tripterygiidae	Karalepis	stewarti	Karste
Tripterygiidae	Notoclinops	caerulepunctus	Notcae
Tripterygiidae	Notoclinops	segmentatus	Notseg
Tripterygiidae	Notoclinops	yaldwyni	Notyal
Tripterygiidae	Ruanoho	decemdigitatus	Ruadec
Tripterygiidae	Ruanoho	whero	Ruawhe
Congiopodidae	Congiopodus	leucopaecilus	Conleu
Scorpaenidae	Pterois	volitans	Ptevol
Scorpaenidae	Scorpaena	cardinalis	Scocar
Scorpaenidae	Scorpaena	papillosa	Scopap
Scorpaenidae	Scorpaenodes	scaber	Scosca
Sebastidae	Helicolenus	percoides	Helper
Triglidae	Chelidonichthys	kumu	Chekum
Aulostomidae	Aulostomus	chinensis	Aulchi
Syngnathidae	Hippocampus	abdominalis	Hipabd
Syngnathidae	Solegnathus	spinosissimus	Solspi
Syngnathidae	Stigmatopora	macropterygia	Stimac
Diodontidae	Allomycterus	pilatus	Alljac
Monacanthidae	Meuschenia	scaber	Parsca
Monacanthidae	Thamnaconus	analis	Thaana
Ostraciidae	Ostracion	cubicus	Ostcub
Tetraodontidae	Canthigaster	callisterna	Cancal
Zeidae	Zeus	faber	Zeufab
Palinuridae	Jasus	edwardsii	Jasedw
Octopodidae	Macroctopus	maorum	Macmao
Myriopathidae	Antipathella	fiordensis	Antfio
